s;counts;count_sigma;current1;current2;current_mean;count_adjust;count_adjust_sigma
0;32;5.656854249;300;300;300;0.005333333;0.001295767
0;24;4.898979486;300;300;300;0.004;0.001054093
0.5;807;28.40774542;600;600;600;0.06725;0.006083654
1;703;26.51414717;600;400;500;0.0703;0.007513381
2;773;27.80287755;300;300;300;0.128833333;0.021966532
5;1005;31.70173497;300;300;300;0.1675;0.028412267
10;1387;37.2424489;300;300;300;0.231166667;0.039024575
20;2090;45.7165178;300;300;300;0.348333333;0.058553421
30;2299;47.94788838;300;300;300;0.383166667;0.064359169
45;2506;50.05996404;300;300;300;0.417666667;0.070109328
60;2575;50.74445783;300;300;300;0.429166667;0.072026042
0.5;609;24.67792536;300;325;312.5;0.09744;0.01608263
0.5;637;25.23885893;325;325;325;0.098;0.015568896
1;686;26.19160171;325;325;325;0.105538462;0.016729216
1;675;25.98076211;325;300;312.5;0.108;0.017772968
0.25;617;24.8394847;300;300;300;0.102833333;0.017631801
0.25;616;24.81934729;300;300;300;0.102666667;0.017604012
0.75;654;25.57342371;300;350;325;0.100615385;0.015971465
0.75;714;26.72077843;350;375;362.5;0.098482759;0.014074951
1.5;671;25.90366769;375;350;362.5;0.092551724;0.013256329
1.5;688;26.2297541;350;350;350;0.098285714;0.014532217
3;812;28.4956137;375;375;375;0.108266667;0.014927184
2;810;28.46049894;375;300;337.5;0.12;0.018270938
2;781;27.94637722;300;300;300;0.130166667;0.022188812
3;837;28.93095228;300;300;300;0.1395;0.023744736
4;976;31.2409987;300;300;300;0.162666667;0.027606584
5;1015;31.85906464;300;300;300;0.169166667;0.028690088
6;1077;32.81767816;300;300;300;0.1795;0.030412557
7;1111;33.33166662;300;325;312.5;0.17776;0.028937281
8;1179;34.33656943;325;325;325;0.181384615;0.028400925
9;1317;36.29049462;325;300;312.5;0.21072;0.034211546
10;1306;36.138622;300;300;300;0.217666667;0.036774379
15;1630;40.37325848;300;325;312.5;0.2608;0.04222504
25;2190;46.79743583;300;300;300;0.365;0.061331295
8;1240;35.21363372;300;325;312.5;0.1984;0.032240123
