time.time() c1rms c3rms c1pp c3pp
1725454766.2249892 8.6457E-01 1.4084E+00 2.4911E+00 4.0097E+00
1725454766.4268467 8.6455E-01 1.4083E+00 2.4911E+00 4.0216E+00
1725454766.6286573 8.6455E-01 1.4083E+00 2.4911E+00 4.0096E+00
1725454766.8331363 8.6461E-01 1.4083E+00 2.4969E+00 4.0097E+00
1725454767.035246 8.6456E-01 1.4083E+00 2.4957E+00 4.0079E+00
1725454767.2442877 8.6452E-01 1.4083E+00 2.4934E+00 4.0079E+00
1725454767.4519086 8.6455E-01 1.4083E+00 2.4888E+00 4.0096E+00
1725454767.6653578 8.6452E-01 1.4082E+00 2.4922E+00 4.0097E+00
1725454767.8871887 8.6455E-01 1.4083E+00 2.4922E+00 4.0096E+00
1725454768.0934622 8.6449E-01 1.4083E+00 2.4899E+00 4.0113E+00
1725454768.3115377 8.6448E-01 1.4083E+00 2.4911E+00 4.0147E+00
1725454768.5100267 8.6453E-01 1.4083E+00 2.4888E+00 4.0096E+00
1725454768.7121532 8.6450E-01 1.4083E+00 2.4899E+00 4.0113E+00
1725454768.9171467 8.6459E-01 1.4082E+00 2.4900E+00 4.0129E+00
1725454769.1257632 8.6452E-01 1.4083E+00 2.4911E+00 4.0147E+00
1725454769.3870573 8.6452E-01 1.4083E+00 2.4888E+00 4.0113E+00
1725454769.595899 8.6455E-01 1.4083E+00 2.4933E+00 4.0097E+00
1725454769.805839 8.6454E-01 1.4083E+00 2.4899E+00 4.0063E+00
1725454770.0107296 8.6457E-01 1.4083E+00 2.4899E+00 4.0129E+00
1725454770.2149432 8.6456E-01 1.4083E+00 2.4923E+00 4.0113E+00
1725454770.409449 8.6451E-01 1.4083E+00 2.4899E+00 4.0113E+00
1725454770.6152103 8.6453E-01 1.4082E+00 2.4911E+00 4.0079E+00
1725454770.8170123 8.6453E-01 1.4083E+00 2.4911E+00 4.0147E+00
1725454771.0162554 8.6454E-01 1.4082E+00 2.4933E+00 4.0114E+00
1725454771.2238116 8.6446E-01 1.4082E+00 2.4991E+00 4.0129E+00
1725454771.4385283 8.6447E-01 1.4082E+00 2.4922E+00 4.0148E+00
1725454771.634166 8.6452E-01 1.4083E+00 2.4911E+00 4.0131E+00
1725454771.836349 8.6451E-01 1.4083E+00 2.4922E+00 4.0097E+00
1725454772.05197 8.6451E-01 1.4083E+00 2.4911E+00 4.0131E+00
1725454772.267438 8.6452E-01 1.4083E+00 2.4911E+00 4.0113E+00
1725454772.4794295 8.6450E-01 1.4082E+00 2.4934E+00 4.0113E+00
1725454772.6780975 8.6454E-01 1.4082E+00 2.4934E+00 4.0114E+00
1725454772.8957057 8.6454E-01 1.4083E+00 2.4933E+00 4.0096E+00
1725454773.112133 8.6452E-01 1.4082E+00 2.4899E+00 4.0096E+00
1725454773.3205311 8.6452E-01 1.4083E+00 2.4911E+00 4.0096E+00
1725454773.5301964 8.6446E-01 1.4083E+00 2.4899E+00 4.0148E+00
1725454773.74002 8.6449E-01 1.4083E+00 2.4888E+00 4.0131E+00
1725454773.9401264 8.6449E-01 1.4082E+00 2.4899E+00 4.0079E+00
1725454774.1356554 8.6455E-01 1.4082E+00 2.4911E+00 4.0096E+00
1725454774.3474312 8.6452E-01 1.4082E+00 2.4877E+00 4.0096E+00
1725454774.543478 8.6450E-01 1.4082E+00 2.4911E+00 4.0096E+00
