time.time(), c2vavg
1725611513.835952, -1.6220E+00
1725611513.9580793, -1.6220E+00
1725611514.083914, -1.6220E+00
1725611514.2214975, -1.6219E+00
1725611514.3472557, -1.6219E+00
1725611514.491187, -1.6219E+00
1725611514.6227748, -1.6220E+00
1725611514.7475266, -1.6220E+00
1725611514.8783736, -1.6220E+00
1725611515.0140142, -1.6220E+00
1725611515.1458616, -1.6219E+00
1725611515.2773783, -1.6219E+00
1725611515.4013371, -1.6219E+00
1725611515.5394664, -1.6219E+00
1725611515.6753945, -1.6219E+00
1725611515.8020968, -1.6219E+00
1725611515.940977, -1.6219E+00
1725611516.0647936, -1.6220E+00
1725611516.1898603, -1.6220E+00
1725611516.3130858, -1.6220E+00
1725611516.4507496, -1.6220E+00
1725611516.5765285, -1.6220E+00
1725611516.7007976, -1.6220E+00
1725611516.826677, -1.6220E+00
1725611516.9540112, -1.6220E+00
1725611517.0916417, -1.6220E+00
1725611517.2298841, -1.6220E+00
1725611517.35491, -1.6220E+00
1725611517.4786294, -1.6220E+00
1725611517.6138763, -1.6220E+00
1725611517.741948, -1.6220E+00
1725611517.8653748, -1.6221E+00
1725611517.9909823, -1.6221E+00
1725611518.128806, -1.6220E+00
1725611518.2681496, -1.6221E+00
1725611518.4054782, -1.6220E+00
1725611518.5324519, -1.6220E+00
1725611518.6558573, -1.6219E+00
1725611518.7795637, -1.6219E+00
1725611518.9056337, -1.6219E+00
1725611519.0308614, -1.6219E+00
1725611519.157748, -1.6219E+00
1725611519.2950666, -1.6219E+00
1725611519.4189296, -1.6219E+00
1725611519.5423007, -1.6219E+00
1725611519.667539, -1.6219E+00
1725611519.799373, -1.6220E+00
1725611519.9310675, -1.6220E+00
1725611520.055234, -1.6220E+00
1725611520.1815314, -1.6220E+00
1725611520.3195035, -1.6219E+00
1725611520.4424448, -1.6219E+00
1725611520.5698628, -1.6254E+00
1725611520.6945803, -1.6255E+00
1725611520.8262706, -1.6255E+00
1725611520.9585657, -1.6255E+00
1725611521.0833342, -1.6255E+00
1725611521.2102797, -1.6255E+00
1725611521.349069, -1.6255E+00
