time.time(), c1pp, vset
1727688572.1615584, 2.967E+00, 149
1727688572.2671597, 2.962E+00, 149
1727688572.3712656, 2.969E+00, 149
1727688572.4737973, 2.962E+00, 149
1727688572.5765905, 2.985E+00, 149
1727688572.6793787, 2.974E+00, 149
1727688572.7844667, 2.976E+00, 149
1727688572.8895407, 2.969E+00, 149
1727688572.992512, 2.956E+00, 149
1727688573.0971928, 2.969E+00, 149
1727688574.2019713, 2.969E+00, 150
1727688574.305067, 2.996E+00, 150
1727688574.4113271, 2.989E+00, 150
1727688574.5169315, 2.989E+00, 150
1727688574.6209536, 2.978E+00, 150
1727688574.7257793, 2.989E+00, 150
1727688574.8319993, 3.001E+00, 150
1727688574.9350114, 2.983E+00, 150
1727688575.0410101, 2.992E+00, 150
1727688575.1431837, 2.983E+00, 150
1727688576.2523346, 2.987E+00, 151
1727688576.3559444, 2.983E+00, 151
1727688576.4593282, 2.996E+00, 151
1727688576.5658102, 2.994E+00, 151
1727688576.670364, 3.005E+00, 151
1727688576.7732055, 3.014E+00, 151
1727688576.8768682, 3.003E+00, 151
1727688576.9816716, 3.003E+00, 151
1727688577.0873659, 3.003E+00, 151
1727688577.192843, 3.009E+00, 151
1727688578.2995415, 3.005E+00, 152
1727688578.4060836, 3.021E+00, 152
1727688578.5082088, 3.032E+00, 152
1727688578.6104848, 3.027E+00, 152
1727688578.715925, 3.025E+00, 152
1727688578.8249648, 3.025E+00, 152
1727688578.932262, 3.016E+00, 152
1727688579.0356314, 3.018E+00, 152
1727688579.1397736, 3.021E+00, 152
1727688579.2433565, 3.034E+00, 152
1727688580.3476388, 3.027E+00, 153
1727688580.4503987, 3.025E+00, 153
1727688580.5571845, 3.043E+00, 153
1727688580.6612763, 3.039E+00, 153
1727688580.7670665, 3.043E+00, 153
1727688580.868946, 3.063E+00, 153
1727688580.9707735, 3.041E+00, 153
1727688581.072562, 3.050E+00, 153
1727688581.1764915, 3.043E+00, 153
1727688581.2818208, 3.048E+00, 153
1727688582.387142, 3.045E+00, 154
1727688582.489959, 3.032E+00, 154
1727688582.6000636, 3.061E+00, 154
1727688582.702964, 3.074E+00, 154
1727688582.8059778, 3.079E+00, 154
1727688582.9096282, 3.077E+00, 154
1727688583.0156636, 3.054E+00, 154
1727688583.1187575, 3.068E+00, 154
1727688583.221764, 3.056E+00, 154
1727688583.3245845, 3.068E+00, 154
1727688584.4312427, 3.059E+00, 155
1727688584.5381534, 3.061E+00, 155
1727688584.6409225, 3.083E+00, 155
1727688584.745838, 3.081E+00, 155
1727688584.8495908, 3.085E+00, 155
1727688584.9524915, 3.077E+00, 155
1727688585.0575757, 3.079E+00, 155
1727688585.159557, 3.083E+00, 155
1727688585.2613547, 3.081E+00, 155
1727688585.3681786, 3.079E+00, 155
1727688586.474021, 3.083E+00, 156
1727688586.577745, 3.090E+00, 156
1727688586.683459, 3.101E+00, 156
1727688586.7883413, 3.108E+00, 156
1727688586.8942406, 3.103E+00, 156
1727688586.998066, 3.095E+00, 156
1727688587.1067746, 3.101E+00, 156
1727688587.2137387, 3.097E+00, 156
1727688587.3174558, 3.126E+00, 156
1727688587.4193969, 3.101E+00, 156
1727688588.5269697, 3.115E+00, 157
1727688588.6306949, 3.106E+00, 157
1727688588.7336, 3.130E+00, 157
1727688588.8372946, 3.132E+00, 157
1727688588.9410477, 3.139E+00, 157
1727688589.043996, 3.121E+00, 157
1727688589.1466935, 3.115E+00, 157
1727688589.249617, 3.130E+00, 157
1727688589.354337, 3.137E+00, 157
1727688589.4590557, 3.112E+00, 157
1727688590.5650322, 3.115E+00, 158
1727688590.6687598, 3.117E+00, 158
1727688590.7745833, 3.141E+00, 158
1727688590.881297, 3.144E+00, 158
1727688590.9860177, 3.139E+00, 158
1727688591.090708, 3.139E+00, 158
1727688591.1956382, 3.135E+00, 158
1727688591.3004496, 3.137E+00, 158
1727688591.4053974, 3.150E+00, 158
1727688591.5091207, 3.135E+00, 158
1727688592.615835, 3.139E+00, 159
1727688592.7215238, 3.135E+00, 159
1727688592.8283455, 3.146E+00, 159
1727688592.9332519, 3.159E+00, 159
1727688593.0381582, 3.162E+00, 159
1727688593.14117, 3.166E+00, 159
1727688593.244943, 3.168E+00, 159
1727688593.35076, 3.168E+00, 159
1727688593.45545, 3.159E+00, 159
1727688593.5601938, 3.159E+00, 159
1727688594.6687565, 3.164E+00, 160
1727688594.7741706, 3.155E+00, 160
1727688594.8778443, 3.179E+00, 160
1727688594.984297, 3.177E+00, 160
1727688595.0872037, 3.166E+00, 160
