time.time(), c1pp, vset
1727687654.3148184, 1.403E-01, 5
1727687654.4194887, 1.463E-01, 5
1727687654.5222611, 1.408E-01, 5
1727687654.6271865, 1.394E-01, 5
1727687654.7294052, 1.413E-01, 5
1727687654.836928, 1.431E-01, 5
1727687654.9431245, 1.422E-01, 5
1727687655.047734, 1.459E-01, 5
1727687655.1531143, 1.426E-01, 5
1727687655.255588, 1.431E-01, 5
1727687656.363587, 1.441E-01, 6
1727687656.4734674, 1.607E-01, 6
1727687656.5772333, 1.616E-01, 6
1727687656.6817796, 1.602E-01, 6
1727687656.7854753, 1.602E-01, 6
1727687656.8889048, 1.606E-01, 6
1727687656.9933357, 1.630E-01, 6
1727687657.0985096, 1.588E-01, 6
1727687657.2052786, 1.607E-01, 6
1727687657.3085701, 1.621E-01, 6
1727687658.4139955, 1.607E-01, 7
1727687658.517238, 1.597E-01, 7
1727687658.6216226, 1.842E-01, 7
1727687658.7260287, 1.791E-01, 7
1727687658.829126, 1.791E-01, 7
1727687658.9324927, 1.810E-01, 7
1727687659.0367186, 1.819E-01, 7
1727687659.139514, 1.791E-01, 7
1727687659.2429, 1.801E-01, 7
1727687659.3461876, 1.791E-01, 7
1727687660.4567354, 1.842E-01, 8
1727687660.5614665, 1.990E-01, 8
1727687660.6649053, 2.008E-01, 8
1727687660.7719514, 1.976E-01, 8
1727687660.876562, 2.027E-01, 8
1727687660.9812694, 1.994E-01, 8
1727687661.0867329, 2.013E-01, 8
1727687661.1946273, 1.999E-01, 8
1727687661.29736, 2.013E-01, 8
1727687661.401817, 1.990E-01, 8
1727687662.5085156, 1.994E-01, 9
1727687662.6137993, 2.207E-01, 9
1727687662.7183619, 2.221E-01, 9
1727687662.8221986, 2.207E-01, 9
1727687662.9246323, 2.193E-01, 9
1727687663.028962, 2.193E-01, 9
1727687663.1334963, 2.184E-01, 9
1727687663.2372932, 2.211E-01, 9
1727687663.3412893, 2.179E-01, 9
1727687663.4448807, 2.221E-01, 9
1727687664.5489974, 2.234E-01, 10
1727687664.6511273, 2.211E-01, 10
1727687664.7551475, 2.401E-01, 10
1727687664.8611476, 2.414E-01, 10
1727687664.967309, 2.387E-01, 10
1727687665.0762498, 2.401E-01, 10
1727687665.1814394, 2.415E-01, 10
1727687665.2849467, 2.396E-01, 10
1727687665.3899195, 2.387E-01, 10
1727687665.4965403, 2.364E-01, 10
1727687666.6046395, 2.401E-01, 11
1727687666.709128, 2.401E-01, 11
1727687666.8167503, 2.576E-01, 11
1727687666.9257765, 2.599E-01, 11
1727687667.031735, 2.576E-01, 11
1727687667.135836, 2.567E-01, 11
1727687667.2389576, 2.618E-01, 11
1727687667.3457427, 2.585E-01, 11
1727687667.448538, 2.567E-01, 11
1727687667.5526347, 2.590E-01, 11
1727687668.6609309, 2.571E-01, 12
