time.time(), c1pp, c2pp
1727776702.4145844, 7.819E+00, 1.990E+01
1727776702.5223207, 7.810E+00, 1.997E+01
1727776702.6290896, 7.824E+00, 1.993E+01
1727776702.7371142, 7.811E+00, 1.995E+01
1727776702.848376, 7.829E+00, 1.991E+01
1727776702.956005, 7.833E+00, 1.994E+01
1727776703.0682437, 7.819E+00, 1.996E+01
1727776703.1744735, 7.810E+00, 1.993E+01
1727776703.2820888, 7.819E+00, 1.987E+01
1727776703.388877, 7.802E+00, 1.991E+01
1727776703.4954615, 7.824E+00, 1.993E+01
1727776703.603623, 7.829E+00, 1.996E+01
1727776703.7153728, 7.824E+00, 1.995E+01
1727776703.8221266, 7.819E+00, 1.989E+01
1727776703.9283478, 7.810E+00, 1.993E+01
1727776704.0408673, 7.815E+00, 1.998E+01
1727776704.1520228, 7.828E+00, 1.994E+01
1727776704.2608585, 7.819E+00, 1.991E+01
1727776704.3688462, 7.833E+00, 1.997E+01
1727776704.4824698, 7.806E+00, 1.995E+01
1727776704.5900002, 7.819E+00, 1.991E+01
1727776704.6985283, 7.819E+00, 1.993E+01
1727776704.8079581, 7.833E+00, 1.995E+01
1727776704.9178276, 7.828E+00, 1.996E+01
1727776705.027614, 7.824E+00, 1.993E+01
1727776705.134922, 7.815E+00, 1.991E+01
1727776705.2426317, 7.815E+00, 1.997E+01
1727776705.3526602, 7.846E+00, 1.994E+01
1727776705.4589493, 7.815E+00, 1.996E+01
1727776705.5679042, 7.819E+00, 1.994E+01
1727776705.6772559, 7.815E+00, 1.995E+01
1727776705.7859707, 7.815E+00, 1.994E+01
1727776705.893911, 7.833E+00, 1.986E+01
1727776706.0053673, 7.824E+00, 1.994E+01
1727776706.119812, 7.815E+00, 1.994E+01
1727776706.2273293, 7.810E+00, 1.996E+01
1727776706.33633, 7.810E+00, 1.995E+01
1727776706.4441085, 7.815E+00, 1.995E+01
1727776706.554568, 7.815E+00, 1.996E+01
1727776706.6637135, 7.810E+00, 2.000E+01
1727776706.772341, 7.815E+00, 1.985E+01
1727776706.8824327, 7.806E+00, 1.988E+01
1727776706.9931188, 7.833E+00, 1.985E+01
1727776707.0997007, 7.815E+00, 1.987E+01
1727776707.2071984, 7.810E+00, 1.993E+01
1727776707.3155296, 7.828E+00, 1.991E+01
