time.time(), c1pp, c2pp, c1rms, c2rms
1727862767.1888747, 1.544E+01, 1.990E+01, 5.415E+00, 6.937E+00 
1727862767.3041298, 1.544E+01, 1.990E+01, 5.415E+00, 6.933E+00 
1727862767.420583, 1.543E+01, 1.991E+01, 5.415E+00, 6.933E+00 
1727862767.5382292, 1.545E+01, 1.996E+01, 5.414E+00, 6.933E+00 
1727862767.6596553, 1.542E+01, 1.990E+01, 5.414E+00, 6.933E+00 
1727862767.774093, 1.543E+01, 1.989E+01, 5.415E+00, 6.935E+00 
1727862767.8891473, 1.544E+01, 1.990E+01, 5.415E+00, 6.936E+00 
1727862768.0050693, 1.544E+01, 1.991E+01, 5.415E+00, 6.936E+00 
1727862768.1245983, 1.542E+01, 1.990E+01, 5.415E+00, 6.933E+00 
1727862768.2372305, 1.544E+01, 1.994E+01, 5.414E+00, 6.935E+00 
1727862768.3539548, 1.544E+01, 1.991E+01, 5.415E+00, 6.933E+00 
1727862768.4658186, 1.542E+01, 1.993E+01, 5.415E+00, 6.933E+00 
1727862768.5828867, 1.544E+01, 1.990E+01, 5.415E+00, 6.934E+00 
1727862768.6976924, 1.542E+01, 1.991E+01, 5.415E+00, 6.936E+00 
1727862768.8126261, 1.543E+01, 1.991E+01, 5.415E+00, 6.936E+00 
1727862768.9259145, 1.543E+01, 1.994E+01, 5.414E+00, 6.936E+00 
1727862769.0398803, 1.543E+01, 1.994E+01, 5.414E+00, 6.936E+00 
1727862769.1505797, 1.544E+01, 1.993E+01, 5.414E+00, 6.934E+00 
1727862769.2654128, 1.543E+01, 1.990E+01, 5.415E+00, 6.933E+00 
1727862769.379005, 1.543E+01, 1.991E+01, 5.414E+00, 6.935E+00 
1727862769.4942727, 1.543E+01, 1.993E+01, 5.415E+00, 6.936E+00 
1727862769.6096604, 1.543E+01, 1.994E+01, 5.414E+00, 6.936E+00 
1727862769.721761, 1.545E+01, 1.989E+01, 5.415E+00, 6.934E+00 
1727862769.8358393, 1.544E+01, 1.988E+01, 5.414E+00, 6.934E+00 
1727862769.947655, 1.543E+01, 1.989E+01, 5.415E+00, 6.934E+00 
1727862770.0681455, 1.542E+01, 1.990E+01, 5.415E+00, 6.936E+00 
1727862770.1835988, 1.543E+01, 1.995E+01, 5.414E+00, 6.936E+00 
1727862770.2964988, 1.543E+01, 1.994E+01, 5.415E+00, 6.934E+00 
1727862770.4111898, 1.543E+01, 1.991E+01, 5.415E+00, 6.934E+00 
1727862770.5358257, 1.544E+01, 1.991E+01, 5.415E+00, 6.932E+00 
1727862770.6574423, 1.544E+01, 1.993E+01, 5.415E+00, 6.934E+00 
1727862770.7713451, 1.543E+01, 1.994E+01, 5.415E+00, 6.933E+00 
1727862770.8927276, 1.546E+01, 1.995E+01, 5.414E+00, 6.934E+00 
1727862771.00742, 1.543E+01, 1.993E+01, 5.415E+00, 6.932E+00 
1727862771.118454, 1.544E+01, 1.993E+01, 5.415E+00, 6.934E+00 
1727862771.2329664, 1.543E+01, 1.989E+01, 5.415E+00, 6.935E+00 
1727862771.347625, 1.542E+01, 1.990E+01, 5.415E+00, 6.936E+00 
1727862771.4593127, 1.545E+01, 1.993E+01, 5.415E+00, 6.933E+00 
1727862771.5763655, 1.543E+01, 1.991E+01, 5.415E+00, 6.935E+00 
1727862771.6893225, 1.543E+01, 1.989E+01, 5.415E+00, 6.934E+00 
