countA, countB, T, UDC, VRF
23V, 8.6*1e-6<built-in method now of type object at 0x00007FF8D81B3AB0>VOcto = 45V
299,0, 0.29054903984069824, -5.0, 370
300,0, 0.5866928100585938, -5.0, 370
299,0, 0.8816623687744141, -4.5, 370
300,0, 1.1789705753326416, -4.5, 370
299,0, 1.47711181640625, -4.0, 370
300,0, 1.7722687721252441, -4.0, 370
300,0, 2.0674359798431396, -3.5, 370
300,0, 2.3649656772613525, -3.5, 370
300,0, 2.6563098430633545, -3.0, 370
300,0, 2.9490978717803955, -3.0, 370
300,0, 3.2460267543792725, -2.5, 370
300,0, 3.541001796722412, -2.5, 370
300,0, 3.8384041786193848, -2.0, 370
300,0, 4.134173154830933, -2.0, 370
300,0, 4.429696321487427, -1.5, 370
300,0, 4.724982500076294, -1.5, 370
300,0, 5.019873857498169, -1.0, 370
300,0, 5.316739082336426, -1.0, 370
300,0, 5.611683130264282, -0.5, 370
299,0, 5.9057698249816895, -0.5, 370
300,0, 6.20073676109314, 0.0, 370
299,1, 6.496693849563599, 0.0, 370
301,1, 6.793630838394165, 0.5, 370
299,2, 7.089197874069214, 0.5, 370
300,0, 7.386218786239624, 1.0, 370
299,10, 7.68285059928894, 1.0, 370
300,6, 7.9785542488098145, 1.5, 370
300,10, 8.273252725601196, 1.5, 370
300,21, 8.569445133209229, 2.0, 370
300,21, 8.864261150360107, 2.0, 370
300,31, 9.159828424453735, 2.5, 370
300,23, 9.45693039894104, 2.5, 370
300,41, 9.754245519638062, 3.0, 370
300,35, 10.049414873123169, 3.0, 370
300,39, 10.345421075820923, 3.5, 370
300,42, 10.639798402786255, 3.5, 370
300,34, 10.931862115859985, 4.0, 370
300,42, 11.228091716766357, 4.0, 370
300,39, 11.52286148071289, 4.5, 370
300,38, 11.81804347038269, 4.5, 370
299,43, 12.115554332733154, 4.5, 370
300,38, 12.411664724349976, 4.5, 370
299,45, 12.7053542137146, 4.0, 370
300,34, 13.00069284439087, 4.0, 370
299,39, 13.295301914215088, 3.5, 370
300,35, 13.59079098701477, 3.5, 370
299,40, 13.886704683303833, 3.0, 370
300,44, 14.18359661102295, 3.0, 370
300,29, 14.476895570755005, 2.5, 370
300,25, 14.769526958465576, 2.5, 370
300,15, 15.065087795257568, 2.0, 370
300,19, 15.361021518707275, 2.0, 370
300,17, 15.65848422050476, 1.5, 370
300,18, 15.953932523727417, 1.5, 370
300,11, 16.249772787094116, 1.0, 370
300,6, 16.544509172439575, 1.0, 370
300,2, 16.839807271957397, 0.5, 370
300,1, 17.136613130569458, 0.5, 370
300,1, 17.433553457260132, 0.0, 370
299,0, 17.729395866394043, 0.0, 370
300,0, 18.02579355239868, -0.5, 370
299,0, 18.32197117805481, -0.5, 370
300,0, 18.617437601089478, -1.0, 370
299,0, 18.91473650932312, -1.0, 370
300,0, 19.208004474639893, -1.5, 370
300,0, 19.50157380104065, -1.5, 370
300,0, 19.798487901687622, -2.0, 370
300,0, 20.09205722808838, -2.0, 370
300,0, 20.386123180389404, -2.5, 370
300,0, 20.68133783340454, -2.5, 370
300,0, 20.9770987033844, -3.0, 370
300,0, 21.274967670440674, -3.0, 370
300,0, 21.569835424423218, -3.5, 370
300,0, 21.868532180786133, -3.5, 370
300,0, 22.164836168289185, -4.0, 370
300,0, 22.460323333740234, -4.0, 370
300,0, 22.757123947143555, -4.5, 370
300,0, 23.05329942703247, -4.5, 370
299,0, 23.350353240966797, -5.0, 370
300,0, 23.649168252944946, -5.0, 370
299,0, 23.94623589515686, -5.0, 371
300,0, 24.24122977256775, -5.0, 371
299,0, 24.537240266799927, -4.5, 371
300,0, 24.834128379821777, -4.5, 371
299,0, 25.130069255828857, -4.0, 371
300,0, 25.424184322357178, -4.0, 371
300,0, 25.719457626342773, -3.5, 371
300,0, 26.016451358795166, -3.5, 371
300,0, 26.314701318740845, -3.0, 371
299,0, 26.60858988761902, -3.0, 371
300,0, 26.905869960784912, -2.5, 371
299,0, 27.201411962509155, -2.5, 371
300,0, 27.496968984603882, -2.0, 371
300,0, 27.790794134140015, -2.0, 371
300,0, 28.085397005081177, -1.5, 371
300,0, 28.382065057754517, -1.5, 371
300,0, 28.67804265022278, -1.0, 371
300,0, 28.97553277015686, -1.0, 371
300,0, 29.26985740661621, -0.5, 371
299,0, 29.562296867370605, -0.5, 371
300,0, 29.85653042793274, 0.0, 371
299,0, 30.150601387023926, 0.0, 371
300,1, 30.44673728942871, 0.5, 371
299,2, 30.742284774780273, 0.5, 371
300,9, 31.036182641983032, 1.0, 371
300,6, 31.33061456680298, 1.0, 371
300,19, 31.62728786468506, 1.5, 371
300,14, 31.924028635025024, 1.5, 371
299,15, 32.21658396720886, 2.0, 371
300,18, 32.50760078430176, 2.0, 371
299,25, 32.80402135848999, 2.5, 371
300,29, 33.09911060333252, 2.5, 371
299,34, 33.396257162094116, 3.0, 371
300,37, 33.69227337837219, 3.0, 371
300,29, 33.98926281929016, 3.5, 371
300,39, 34.288188219070435, 3.5, 371
300,30, 34.58346247673035, 4.0, 371
300,39, 34.878546476364136, 4.0, 371
299,38, 35.17267298698425, 4.5, 371
300,47, 35.4658625125885, 4.5, 371
299,49, 35.762022495269775, 4.5, 371
300,31, 36.05833077430725, 4.5, 371
299,39, 36.355661153793335, 4.0, 371
300,31, 36.65067934989929, 4.0, 371
300,39, 36.94685339927673, 3.5, 371
300,28, 37.24242854118347, 3.5, 371
300,37, 37.538182735443115, 3.0, 371
299,31, 37.831653118133545, 3.0, 371
300,26, 38.126256227493286, 2.5, 371
299,21, 38.421024560928345, 2.5, 371
300,25, 38.71560025215149, 2.0, 371
299,22, 39.01128053665161, 2.0, 371
300,12, 39.30576252937317, 1.5, 371
300,14, 39.599584102630615, 1.5, 371
300,11, 39.89524006843567, 1.0, 371
300,5, 40.19083857536316, 1.0, 371
300,3, 40.48615837097168, 0.5, 371
299,3, 40.77895522117615, 0.5, 371
300,0, 41.07348608970642, 0.0, 371
299,0, 41.37047219276428, 0.0, 371
300,0, 41.66555857658386, -0.5, 371
299,0, 41.96164560317993, -0.5, 371
300,0, 42.25577712059021, -1.0, 371
299,0, 42.550363540649414, -1.0, 371
300,0, 42.84497952461243, -1.5, 371
300,0, 43.13904857635498, -1.5, 371
300,0, 43.43223714828491, -2.0, 371
300,0, 43.72960305213928, -2.0, 371
299,0, 44.02698302268982, -2.5, 371
300,0, 44.322718381881714, -2.5, 371
299,0, 44.618497133255005, -3.0, 371
300,0, 44.91367053985596, -3.0, 371
299,0, 45.209614753723145, -3.5, 371
300,0, 45.50431704521179, -3.5, 371
300,0, 45.79832410812378, -4.0, 371
300,0, 46.09142351150513, -4.0, 371
300,0, 46.390034437179565, -4.5, 371
300,0, 46.68527293205261, -4.5, 371
299,0, 46.980565309524536, -5.0, 371
300,0, 47.274604082107544, -5.0, 371
299,0, 47.57403492927551, -5.0, 372
300,0, 47.86855435371399, -5.0, 372
299,0, 48.16319155693054, -4.5, 372
300,0, 48.4604287147522, -4.5, 372
300,0, 48.756248235702515, -4.0, 372
300,0, 49.05222487449646, -4.0, 372
300,0, 49.345568895339966, -3.5, 372
299,0, 49.641067028045654, -3.5, 372
300,0, 49.93641662597656, -3.0, 372
299,0, 50.229774713516235, -3.0, 372
300,0, 50.52623152732849, -2.5, 372
299,0, 50.82392930984497, -2.5, 372
300,0, 51.120025396347046, -2.0, 372
