countA, countB, T, UDC, VRF
23V, 8.6*1e-6<built-in method now of type object at 0x00007FF8D81B3AB0>VOcto = 45V
300,0, 0.30077242851257324, -5.0, 370
300,0, 0.5950741767883301, -5.0, 370
300,0, 0.8847317695617676, -4.5, 370
300,0, 1.183194875717163, -4.5, 370
300,0, 1.4787561893463135, -4.0, 370
300,0, 1.7749378681182861, -4.0, 370
300,0, 2.0736300945281982, -3.5, 370
300,0, 2.3683974742889404, -3.5, 370
300,0, 2.666215419769287, -3.0, 370
300,0, 2.96100115776062, -3.0, 370
300,0, 3.2564857006073, -2.5, 370
300,0, 3.5541205406188965, -2.5, 370
299,0, 3.849026679992676, -2.0, 370
300,0, 4.144485235214233, -2.0, 370
299,0, 4.439173698425293, -1.5, 370
300,0, 4.733435869216919, -1.5, 370
300,0, 5.029964447021484, -1.0, 370
300,0, 5.325174808502197, -1.0, 370
300,0, 5.623613595962524, -0.5, 370
300,0, 5.9198689460754395, -0.5, 370
300,0, 6.216496706008911, 0.0, 370
299,0, 6.511007070541382, 0.0, 370
300,0, 6.805177688598633, 0.5, 370
300,0, 7.103970527648926, 0.5, 370
300,0, 7.399176836013794, 1.0, 370
300,0, 7.697538375854492, 1.0, 370
300,1, 7.993785381317139, 1.5, 370
300,2, 8.289641618728638, 1.5, 370
300,4, 8.584190845489502, 2.0, 370
300,5, 8.878643035888672, 2.0, 370
300,8, 9.17348051071167, 2.5, 370
299,10, 9.467204809188843, 2.5, 370
300,17, 9.765211343765259, 3.0, 370
299,14, 10.059203386306763, 3.0, 370
300,18, 10.356313705444336, 3.5, 370
299,33, 10.654523134231567, 3.5, 370
300,34, 10.949902534484863, 4.0, 370
300,31, 11.24431848526001, 4.0, 370
300,35, 11.540531158447266, 4.5, 370
300,32, 11.835900783538818, 4.5, 370
300,38, 12.131158351898193, 4.5, 370
300,32, 12.427385091781616, 4.5, 370
299,32, 12.72310757637024, 4.0, 370
300,22, 13.020093441009521, 4.0, 370
299,25, 13.312702417373657, 3.5, 370
300,24, 13.605170965194702, 3.5, 370
300,21, 13.901528358459473, 3.0, 370
300,18, 14.197517156600952, 3.0, 370
300,20, 14.494411945343018, 2.5, 370
300,6, 14.79119348526001, 2.5, 370
300,4, 15.086323499679565, 2.0, 370
300,3, 15.38412880897522, 2.0, 370
299,3, 15.679277181625366, 1.5, 370
300,1, 15.976442337036133, 1.5, 370
299,1, 16.274391174316406, 1.0, 370
300,1, 16.571471691131592, 1.0, 370
299,0, 16.865102529525757, 0.5, 370
300,0, 17.15918779373169, 0.5, 370
300,0, 17.454336881637573, 0.0, 370
300,0, 17.75095796585083, 0.0, 370
300,0, 18.047131776809692, -0.5, 370
299,0, 18.343267917633057, -0.5, 370
300,0, 18.639345407485962, -1.0, 370
299,0, 18.934402465820312, -1.0, 370
300,0, 19.22707772254944, -1.5, 370
299,0, 19.521687030792236, -1.5, 370
300,0, 19.819190740585327, -2.0, 370
300,0, 20.11281442642212, -2.0, 370
300,0, 20.41163992881775, -2.5, 370
302,0, 20.70663833618164, -2.5, 370
300,0, 21.001577138900757, -3.0, 370
300,0, 21.29638695716858, -3.0, 370
300,0, 21.593175649642944, -3.5, 370
299,0, 21.890660047531128, -3.5, 370
300,0, 22.18507981300354, -4.0, 370
299,0, 22.480891704559326, -4.0, 370
300,0, 22.776134729385376, -4.5, 370
299,0, 23.07120108604431, -4.5, 370
300,0, 23.368250846862793, -5.0, 370
300,0, 23.664510250091553, -5.0, 370
300,0, 23.96465492248535, -5.0, 371
300,0, 24.261692762374878, -5.0, 371
299,0, 24.558136463165283, -4.5, 371
300,0, 24.85196590423584, -4.5, 371
299,0, 25.147544622421265, -4.0, 371
300,0, 25.441733837127686, -4.0, 371
299,0, 25.737610340118408, -3.5, 371
300,0, 26.032784700393677, -3.5, 371
300,0, 26.327378273010254, -3.0, 371
300,0, 26.622674703598022, -3.0, 371
300,0, 26.91901707649231, -2.5, 371
300,0, 27.21515941619873, -2.5, 371
300,0, 27.511044025421143, -2.0, 371
300,0, 27.808547496795654, -2.0, 371
299,0, 28.10441303253174, -1.5, 371
300,0, 28.399831295013428, -1.5, 371
299,0, 28.69638967514038, -1.0, 371
300,0, 28.990527868270874, -1.0, 371
300,0, 29.287206411361694, -0.5, 371
300,0, 29.581081867218018, -0.5, 371
300,0, 29.87636637687683, 0.0, 371
300,0, 30.1717050075531, 0.0, 371
300,0, 30.468565940856934, 0.5, 371
299,0, 30.76216697692871, 0.5, 371
300,1, 31.05773138999939, 1.0, 371
299,2, 31.35247802734375, 1.0, 371
300,1, 31.648731470108032, 1.5, 371
299,2, 31.94432497024536, 1.5, 371
300,3, 32.24006271362305, 2.0, 371
300,5, 32.53509831428528, 2.0, 371
300,14, 32.831785440444946, 2.5, 371
300,7, 33.127971172332764, 2.5, 371
300,14, 33.421409368515015, 3.0, 371
300,20, 33.71636390686035, 3.0, 371
300,23, 34.01305437088013, 3.5, 371
300,27, 34.30974340438843, 3.5, 371
300,36, 34.60414004325867, 4.0, 371
299,32, 34.90249156951904, 4.0, 371
300,28, 35.19963836669922, 4.5, 371
300,38, 35.493799448013306, 4.5, 371
300,37, 35.78747367858887, 4.5, 371
300,44, 36.082560300827026, 4.5, 371
299,35, 36.37796401977539, 4.0, 371
300,28, 36.67190480232239, 4.0, 371
299,17, 36.96737742424011, 3.5, 371
300,30, 37.2621865272522, 3.5, 371
299,21, 37.55936813354492, 3.0, 371
300,20, 37.85292315483093, 3.0, 371
300,7, 38.14953255653381, 2.5, 371
300,10, 38.44635987281799, 2.5, 371
300,6, 38.744261026382446, 2.0, 371
300,2, 39.04081082344055, 2.0, 371
300,4, 39.335116147994995, 1.5, 371
300,0, 39.63314604759216, 1.5, 371
300,0, 39.92991638183594, 1.0, 371
300,0, 40.2262864112854, 1.0, 371
300,0, 40.51974606513977, 0.5, 371
300,0, 40.815073013305664, 0.5, 371
300,0, 41.110883474349976, 0.0, 371
300,0, 41.40623712539673, 0.0, 371
300,0, 41.70056486129761, -0.5, 371
300,0, 41.9983434677124, -0.5, 371
300,0, 42.295071601867676, -1.0, 371
299,0, 42.59070587158203, -1.0, 371
300,0, 42.88408064842224, -1.5, 371
299,0, 43.18097138404846, -1.5, 371
300,0, 43.47709560394287, -2.0, 371
299,0, 43.77248430252075, -2.0, 371
300,0, 44.0685076713562, -2.5, 371
300,0, 44.363890647888184, -2.5, 371
300,0, 44.65895938873291, -3.0, 371
300,0, 44.951903343200684, -3.0, 371
300,0, 45.24720811843872, -3.5, 371
300,0, 45.54390263557434, -3.5, 371
300,0, 45.84001588821411, -4.0, 371
300,0, 46.13504981994629, -4.0, 371
300,0, 46.42826223373413, -4.5, 371
300,0, 46.723217248916626, -4.5, 371
300,0, 47.01994323730469, -5.0, 371
300,0, 47.3164758682251, -5.0, 371
300,0, 47.61229658126831, -5.0, 372
301,0, 47.90826964378357, -5.0, 372
300,0, 48.20533514022827, -4.5, 372
300,0, 48.50121474266052, -4.5, 372
300,0, 48.79508113861084, -4.0, 372
300,0, 49.091885566711426, -4.0, 372
299,0, 49.38689041137695, -3.5, 372
300,0, 49.68489599227905, -3.5, 372
