countA, countB, T, UDC, VRF
23V, 8*1e-6<built-in method now of type object at 0x00007FF8D81B3AB0>VOcto = 45V
300,0, 0.28551387786865234, -5.0, 370
300,0, 0.5808186531066895, -5.0, 370
300,0, 0.8703789710998535, -4.5, 370
299,0, 1.1600918769836426, -4.5, 370
300,0, 1.4583415985107422, -4.0, 370
299,0, 1.7487733364105225, -4.0, 370
300,0, 2.0357983112335205, -3.5, 370
299,0, 2.327399492263794, -3.5, 370
300,0, 2.6265053749084473, -3.0, 370
300,0, 2.9225001335144043, -3.0, 370
300,0, 3.2237184047698975, -2.5, 370
300,0, 3.5097389221191406, -2.5, 370
300,0, 3.8022007942199707, -2.0, 370
300,0, 4.090606212615967, -2.0, 370
300,0, 4.377478122711182, -1.5, 370
300,0, 4.6730852127075195, -1.5, 370
300,0, 4.9689648151397705, -1.0, 370
300,0, 5.2561845779418945, -1.0, 370
300,0, 5.534399509429932, -0.5, 370
302,0, 5.830666780471802, -0.5, 370
300,0, 6.126917123794556, 0.0, 370
300,1, 6.421373128890991, 0.0, 370
300,1, 6.722849130630493, 0.5, 370
299,2, 7.020681858062744, 0.5, 370
300,2, 7.320397853851318, 1.0, 370
299,5, 7.608361005783081, 1.0, 370
300,16, 7.907342433929443, 1.5, 370
299,10, 8.19706678390503, 1.5, 370
300,10, 8.485090255737305, 2.0, 370
299,13, 8.767860174179077, 2.0, 370
300,21, 9.065881252288818, 2.5, 370
300,19, 9.347383737564087, 2.5, 370
300,24, 9.643599271774292, 3.0, 370
300,21, 9.94183897972107, 3.0, 370
300,25, 10.234298944473267, 3.5, 370
300,19, 10.532034397125244, 3.5, 370
300,34, 10.831900596618652, 4.0, 370
300,36, 11.123029947280884, 4.0, 370
300,33, 11.411042213439941, 4.5, 370
300,39, 11.701258897781372, 4.5, 370
300,35, 11.989775896072388, 4.5, 370
300,37, 12.282830238342285, 4.5, 370
300,43, 12.578409671783447, 4.0, 370
300,27, 12.868024110794067, 4.0, 370
300,29, 13.163774251937866, 3.5, 370
300,28, 13.454327821731567, 3.5, 370
300,27, 13.749314069747925, 3.0, 370
300,16, 14.035623550415039, 3.0, 370
300,21, 14.329389333724976, 2.5, 370
300,20, 14.627837896347046, 2.5, 370
300,17, 14.926750898361206, 2.0, 370
299,21, 15.223944664001465, 2.0, 370
300,13, 15.518785238265991, 1.5, 370
300,10, 15.817079782485962, 1.5, 370
300,6, 16.110788822174072, 1.0, 370
300,9, 16.406163930892944, 1.0, 370
300,2, 16.705477476119995, 0.5, 370
300,4, 16.997368097305298, 0.5, 370
300,2, 17.296806812286377, 0.0, 370
300,0, 17.581639051437378, 0.0, 370
300,0, 17.867772340774536, -0.5, 370
300,0, 18.155311346054077, -0.5, 370
300,0, 18.45542025566101, -1.0, 370
300,0, 18.750258684158325, -1.0, 370
300,0, 19.04793405532837, -1.5, 370
300,0, 19.335370540618896, -1.5, 370
300,0, 19.624950885772705, -2.0, 370
300,0, 19.91626000404358, -2.0, 370
300,0, 20.207456350326538, -2.5, 370
300,0, 20.49429678916931, -2.5, 370
300,0, 20.783145666122437, -3.0, 370
300,0, 21.07998776435852, -3.0, 370
300,0, 21.36255693435669, -3.5, 370
300,0, 21.642996549606323, -3.5, 370
300,0, 21.938241481781006, -4.0, 370
300,0, 22.22974419593811, -4.0, 370
300,0, 22.519416332244873, -4.5, 370
300,0, 22.814250946044922, -4.5, 370
300,0, 23.110923290252686, -5.0, 370
300,0, 23.40695858001709, -5.0, 370
300,0, 23.703953981399536, -5.0, 371
300,0, 24.001884698867798, -5.0, 371
300,0, 24.298369884490967, -4.5, 371
300,0, 24.595882415771484, -4.5, 371
300,0, 24.88670516014099, -4.0, 371
300,0, 25.17435383796692, -4.0, 371
299,0, 25.469205617904663, -3.5, 371
300,0, 25.7670476436615, -3.5, 371
299,0, 26.064303636550903, -3.0, 371
300,0, 26.361478328704834, -3.0, 371
299,0, 26.658345699310303, -2.5, 371
300,0, 26.951303482055664, -2.5, 371
300,0, 27.237178325653076, -2.0, 371
300,0, 27.537193775177002, -2.0, 371
300,0, 27.83268117904663, -1.5, 371
300,0, 28.126055002212524, -1.5, 371
300,0, 28.420907497406006, -1.0, 371
300,0, 28.71005392074585, -1.0, 371
300,0, 28.99095916748047, -0.5, 371
300,0, 29.28289222717285, -0.5, 371
300,2, 29.574262619018555, 0.0, 371
300,1, 29.860214710235596, 0.0, 371
300,4, 30.151801347732544, 0.5, 371
300,1, 30.441654443740845, 0.5, 371
300,5, 30.73421859741211, 1.0, 371
302,6, 31.03051233291626, 1.0, 371
300,18, 31.317633152008057, 1.5, 371
300,8, 31.61146855354309, 1.5, 371
299,14, 31.90633773803711, 2.0, 371
300,14, 32.20124650001526, 2.0, 371
299,15, 32.49688768386841, 2.5, 371
300,21, 32.784260988235474, 2.5, 371
299,28, 33.078226804733276, 3.0, 371
300,24, 33.36525893211365, 3.0, 371
299,28, 33.65726923942566, 3.5, 371
300,28, 33.955384969711304, 3.5, 371
300,30, 34.251628160476685, 4.0, 371
300,37, 34.54707741737366, 4.0, 371
300,35, 34.84286642074585, 4.5, 371
300,29, 35.13927960395813, 4.5, 371
300,30, 35.4255850315094, 4.5, 371
300,32, 35.72195267677307, 4.5, 371
300,22, 36.01789927482605, 4.0, 371
300,31, 36.31252074241638, 4.0, 371
300,31, 36.60928654670715, 3.5, 371
300,34, 36.90724754333496, 3.5, 371
300,30, 37.19554615020752, 3.0, 371
300,21, 37.48522925376892, 3.0, 371
300,28, 37.78296422958374, 2.5, 371
300,23, 38.08205270767212, 2.5, 371
300,17, 38.378496408462524, 2.0, 371
300,17, 38.672136545181274, 2.0, 371
299,13, 38.968491315841675, 1.5, 371
300,10, 39.26297116279602, 1.5, 371
299,9, 39.552873849868774, 1.0, 371
300,8, 39.84709572792053, 1.0, 371
299,6, 40.142220973968506, 0.5, 371
300,3, 40.4306902885437, 0.5, 371
301,2, 40.7258243560791, 0.0, 371
300,1, 41.01933431625366, 0.0, 371
300,0, 41.313334465026855, -0.5, 371
300,0, 41.6113486289978, -0.5, 371
300,0, 41.9071524143219, -1.0, 371
300,1, 42.20426321029663, -1.0, 371
300,0, 42.50121879577637, -1.5, 371
300,0, 42.78735566139221, -1.5, 371
300,0, 43.08373403549194, -2.0, 371
300,0, 43.37892413139343, -2.0, 371
300,0, 43.67520523071289, -2.5, 371
300,0, 43.97123122215271, -2.5, 371
300,0, 44.268176794052124, -3.0, 371
300,0, 44.56427979469299, -3.0, 371
300,0, 44.85843634605408, -3.5, 371
300,0, 45.149688959121704, -3.5, 371
300,0, 45.44162917137146, -4.0, 371
300,0, 45.73403573036194, -4.0, 371
301,0, 46.021628856658936, -4.5, 371
300,0, 46.313108921051025, -4.5, 371
299,0, 46.60601449012756, -5.0, 371
300,0, 46.900126934051514, -5.0, 371
299,0, 47.19729399681091, -5.0, 372
300,0, 47.490522384643555, -5.0, 372
300,0, 47.78755021095276, -4.5, 372
300,0, 48.08254623413086, -4.5, 372
300,0, 48.38572096824646, -4.0, 372
300,0, 48.68572521209717, -4.0, 372
300,0, 48.976019859313965, -3.5, 372
300,0, 49.27218985557556, -3.5, 372
300,0, 49.567038774490356, -3.0, 372
300,0, 49.86168599128723, -3.0, 372
300,0, 50.15774202346802, -2.5, 372
300,0, 50.45373010635376, -2.5, 372
300,0, 50.75089955329895, -2.0, 372
300,0, 51.0457546710968, -2.0, 372
300,0, 51.340059757232666, -1.5, 372
300,0, 51.62690544128418, -1.5, 372
300,0, 51.921087980270386, -1.0, 372
300,0, 52.23375463485718, -1.0, 372
300,0, 52.534751892089844, -0.5, 372
301,0, 52.82859683036804, -0.5, 372
300,2, 53.12338352203369, 0.0, 372
300,0, 53.40966725349426, 0.0, 372
300,4, 53.70421266555786, 0.5, 372
300,7, 53.998642683029175, 0.5, 372
300,5, 54.30533456802368, 1.0, 372
300,7, 54.59448313713074, 1.0, 372
300,13, 54.890385389328, 1.5, 372
300,26, 55.1847927570343, 1.5, 372
300,16, 55.48437976837158, 2.0, 372
300,24, 55.781129360198975, 2.0, 372
300,15, 56.0730767250061, 2.5, 372
300,26, 56.36375117301941, 2.5, 372
300,33, 56.65819001197815, 3.0, 372
300,25, 56.9488365650177, 3.0, 372
300,40, 57.25359320640564, 3.5, 372
300,39, 57.54968786239624, 3.5, 372
300,41, 57.83617877960205, 4.0, 372
300,36, 58.131072998046875, 4.0, 372
300,37, 58.42548727989197, 4.5, 372
299,29, 58.722580671310425, 4.5, 372
300,36, 59.02007246017456, 4.5, 372
299,31, 59.30926322937012, 4.5, 372
300,26, 59.59689497947693, 4.0, 372
299,31, 59.89234709739685, 4.0, 372
300,27, 60.181337118148804, 3.5, 372
299,23, 60.46433925628662, 3.5, 372
300,22, 60.754300355911255, 3.0, 372
300,27, 61.04664969444275, 3.0, 372
300,27, 61.33157825469971, 2.5, 372
300,23, 61.613462686538696, 2.5, 372
300,14, 61.91170573234558, 2.0, 372
300,19, 62.205124378204346, 2.0, 372
300,16, 62.5079984664917, 1.5, 372
300,16, 62.800352811813354, 1.5, 372
300,11, 63.08750009536743, 1.0, 372
300,6, 63.37622666358948, 1.0, 372
300,5, 63.66281580924988, 0.5, 372
300,5, 63.95514225959778, 0.5, 372
300,1, 64.24792146682739, 0.0, 372
300,1, 64.54916834831238, 0.0, 372
300,0, 64.8360743522644, -0.5, 372
300,0, 65.13258242607117, -0.5, 372
300,0, 65.42256045341492, -1.0, 372
299,0, 65.7099916934967, -1.0, 372
300,0, 66.0031566619873, -1.5, 372
299,0, 66.2900505065918, -1.5, 372
300,0, 66.59069275856018, -2.0, 372
299,0, 66.87780785560608, -2.0, 372
300,0, 67.1748161315918, -2.5, 372
299,0, 67.46757245063782, -2.5, 372
300,0, 67.75306797027588, -3.0, 372
299,0, 68.03787589073181, -3.0, 372
300,0, 68.32960391044617, -3.5, 372
300,0, 68.625403881073, -3.5, 372
300,0, 68.91949200630188, -4.0, 372
300,0, 69.20607304573059, -4.0, 372
