time.time(), c1pp, vset
1727699184.955383, 5.884E+00, 299
1727699185.0597186, 5.888E+00, 299
1727699185.1631703, 5.888E+00, 299
1727699185.266732, 5.902E+00, 299
1727699185.3708262, 5.897E+00, 299
1727699185.4751408, 5.875E+00, 299
1727699185.5788755, 5.910E+00, 299
1727699185.683555, 5.897E+00, 299
1727699185.7866232, 5.888E+00, 299
1727699185.890642, 5.910E+00, 299
1727699186.9957323, 5.888E+00, 300
1727699187.0995796, 5.933E+00, 300
1727699187.2022872, 5.915E+00, 300
1727699187.306619, 5.919E+00, 300
1727699187.4122283, 5.910E+00, 300
1727699187.5149407, 5.902E+00, 300
1727699187.620093, 5.910E+00, 300
1727699187.7234244, 5.910E+00, 300
1727699187.826816, 5.919E+00, 300
1727699187.9308124, 5.906E+00, 300
1727699189.036446, 5.910E+00, 301
1727699189.140232, 5.924E+00, 301
1727699189.2439647, 5.942E+00, 301
1727699189.3475797, 5.933E+00, 301
1727699189.4539037, 5.924E+00, 301
1727699189.557496, 5.924E+00, 301
1727699189.6618156, 5.928E+00, 301
1727699189.7641923, 5.933E+00, 301
1727699189.8695602, 5.924E+00, 301
1727699189.973105, 5.924E+00, 301
1727699191.07843, 5.933E+00, 302
1727699191.1825948, 5.915E+00, 302
1727699191.2846785, 5.946E+00, 302
1727699191.3892145, 5.942E+00, 302
1727699191.492649, 5.946E+00, 302
1727699191.5960593, 5.946E+00, 302
1727699191.7018204, 5.955E+00, 302
1727699191.8053672, 5.937E+00, 302
1727699191.9074552, 5.955E+00, 302
1727699192.0130913, 5.946E+00, 302
1727699193.116869, 5.955E+00, 303
1727699193.2195349, 5.946E+00, 303
1727699193.3241096, 5.969E+00, 303
1727699193.4279137, 5.973E+00, 303
1727699193.5313063, 5.973E+00, 303
1727699193.6353612, 5.991E+00, 303
1727699193.739375, 5.973E+00, 303
1727699193.842216, 5.969E+00, 303
1727699193.9466133, 5.986E+00, 303
1727699194.0507894, 5.977E+00, 303
1727699195.1561706, 5.995E+00, 304
1727699195.2600472, 5.982E+00, 304
1727699195.3633256, 5.986E+00, 304
1727699195.4678502, 5.991E+00, 304
1727699195.5711026, 5.991E+00, 304
1727699195.673199, 5.986E+00, 304
1727699195.7790506, 5.982E+00, 304
1727699195.8830633, 5.982E+00, 304
