time.time(), c1pp, vset
1727688283.9771507, 1.235E+00, 59
1727688284.0819716, 1.230E+00, 59
1727688284.1890128, 1.240E+00, 59
1727688284.291009, 1.237E+00, 59
1727688284.3950276, 1.225E+00, 59
1727688284.4998186, 1.224E+00, 59
1727688284.6031647, 1.229E+00, 59
1727688284.7066727, 1.225E+00, 59
1727688284.8148563, 1.241E+00, 59
1727688284.9200094, 1.236E+00, 59
1727688286.02695, 1.232E+00, 60
1727688286.1311946, 1.230E+00, 60
1727688286.2355824, 1.255E+00, 60
1727688286.3388586, 1.251E+00, 60
1727688286.4417984, 1.260E+00, 60
1727688286.5462265, 1.249E+00, 60
1727688286.650349, 1.254E+00, 60
1727688286.7530725, 1.252E+00, 60
1727688286.8559163, 1.258E+00, 60
1727688286.9641569, 1.250E+00, 60
1727688288.0696824, 1.261E+00, 61
1727688288.174332, 1.240E+00, 61
1727688288.2788274, 1.272E+00, 61
1727688288.381986, 1.262E+00, 61
1727688288.4846404, 1.265E+00, 61
1727688288.5890758, 1.281E+00, 61
1727688288.6932044, 1.269E+00, 61
1727688288.7981384, 1.268E+00, 61
1727688288.9052744, 1.263E+00, 61
1727688289.0080204, 1.270E+00, 61
1727688290.1162095, 1.276E+00, 62
1727688290.219956, 1.290E+00, 62
1727688290.322986, 1.289E+00, 62
1727688290.4272866, 1.285E+00, 62
1727688290.5307088, 1.292E+00, 62
1727688290.6358252, 1.290E+00, 62
1727688290.7407215, 1.281E+00, 62
1727688290.845168, 1.289E+00, 62
1727688290.9484534, 1.292E+00, 62
1727688291.0515044, 1.292E+00, 62
1727688292.1575978, 1.289E+00, 63
1727688292.260412, 1.285E+00, 63
1727688292.3667831, 1.305E+00, 63
1727688292.4689553, 1.304E+00, 63
1727688292.5707526, 1.297E+00, 63
1727688292.6735263, 1.311E+00, 63
1727688292.776633, 1.302E+00, 63
1727688292.8794427, 1.311E+00, 63
1727688292.9835944, 1.317E+00, 63
1727688293.089908, 1.302E+00, 63
1727688294.1972039, 1.303E+00, 64
1727688294.2997193, 1.305E+00, 64
1727688294.4023583, 1.330E+00, 64
1727688294.5057604, 1.323E+00, 64
1727688294.6088676, 1.328E+00, 64
1727688294.713955, 1.329E+00, 64
1727688294.8171673, 1.332E+00, 64
1727688294.9197721, 1.331E+00, 64
1727688295.0231478, 1.324E+00, 64
1727688295.1262407, 1.327E+00, 64
1727688296.231549, 1.329E+00, 65
1727688296.3362525, 1.335E+00, 65
1727688296.4397314, 1.343E+00, 65
1727688296.542319, 1.347E+00, 65
1727688296.6520588, 1.344E+00, 65
1727688296.756164, 1.336E+00, 65
1727688296.860601, 1.347E+00, 65
1727688296.9637907, 1.348E+00, 65
1727688297.0680082, 1.352E+00, 65
1727688297.1739542, 1.354E+00, 65
1727688298.281989, 1.349E+00, 66
1727688298.386206, 1.363E+00, 66
1727688298.4899652, 1.362E+00, 66
1727688298.594901, 1.360E+00, 66
1727688298.6988869, 1.364E+00, 66
1727688298.80415, 1.363E+00, 66
1727688298.9065907, 1.365E+00, 66
1727688299.0122104, 1.369E+00, 66
1727688299.1177974, 1.369E+00, 66
1727688299.2207108, 1.356E+00, 66
1727688300.328739, 1.374E+00, 67
1727688300.4303825, 1.371E+00, 67
1727688300.5344718, 1.394E+00, 67
1727688300.637472, 1.384E+00, 67
1727688300.739771, 1.385E+00, 67
1727688300.8435044, 1.388E+00, 67
1727688300.948529, 1.384E+00, 67
1727688301.0521817, 1.383E+00, 67
1727688301.1569786, 1.388E+00, 67
1727688301.2596347, 1.378E+00, 67
1727688302.3666162, 1.391E+00, 68
1727688302.4695969, 1.407E+00, 68
1727688302.5728083, 1.412E+00, 68
1727688302.676167, 1.405E+00, 68
1727688302.7802496, 1.402E+00, 68
1727688302.8864677, 1.407E+00, 68
1727688302.990935, 1.408E+00, 68
1727688303.0956433, 1.403E+00, 68
1727688303.198316, 1.399E+00, 68
1727688303.3041182, 1.397E+00, 68
1727688304.411026, 1.401E+00, 69
1727688304.515091, 1.410E+00, 69
1727688304.6206317, 1.417E+00, 69
1727688304.7295284, 1.422E+00, 69
1727688304.8348134, 1.425E+00, 69
1727688304.9382143, 1.419E+00, 69
1727688305.04301, 1.435E+00, 69
1727688305.1486537, 1.429E+00, 69
1727688305.2574732, 1.423E+00, 69
