time.time(), c1pp, c2pp
1727768367.4412901, 2.007E+00, 2.004E+01
1727768367.548953, 2.016E+00, 2.002E+01
1727768367.6575305, 2.019E+00, 2.005E+01
1727768367.7663708, 2.015E+00, 2.003E+01
1727768367.8749676, 2.026E+00, 2.003E+01
1727768367.9857533, 2.020E+00, 2.005E+01
1727768368.095826, 2.017E+00, 2.007E+01
1727768368.2045097, 2.026E+00, 2.001E+01
1727768368.3127942, 2.017E+00, 2.005E+01
1727768368.4196467, 2.006E+00, 2.008E+01
1727768368.5296574, 2.011E+00, 1.997E+01
1727768368.6392713, 2.020E+00, 2.001E+01
1727768368.7476234, 2.010E+00, 2.003E+01
1727768368.856563, 2.009E+00, 1.998E+01
1727768368.9634848, 2.022E+00, 1.998E+01
1727768369.070946, 2.013E+00, 2.004E+01
1727768369.1765218, 2.015E+00, 2.000E+01
1727768369.2837918, 2.017E+00, 2.005E+01
1727768369.3911273, 2.012E+00, 1.993E+01
1727768369.4988484, 2.011E+00, 2.005E+01
1727768369.6137323, 2.009E+00, 1.999E+01
1727768369.7242365, 2.020E+00, 1.999E+01
1727768369.8293452, 2.009E+00, 2.001E+01
1727768369.9391146, 2.022E+00, 2.000E+01
1727768370.0465653, 2.010E+00, 2.000E+01
1727768370.1541224, 2.016E+00, 1.995E+01
1727768370.2613504, 2.015E+00, 2.001E+01
1727768370.3702977, 2.016E+00, 2.001E+01
1727768370.4791434, 2.011E+00, 2.001E+01
1727768370.5883465, 2.028E+00, 2.001E+01
1727768370.6969385, 2.018E+00, 2.007E+01
1727768370.8081481, 2.019E+00, 1.996E+01
1727768370.9185512, 2.022E+00, 2.000E+01
1727768371.0220625, 2.019E+00, 2.003E+01
1727768371.1340625, 2.013E+00, 1.998E+01
1727768371.2422056, 2.007E+00, 2.002E+01
1727768371.3482022, 2.016E+00, 2.001E+01
1727768371.4561956, 2.015E+00, 2.000E+01
1727768371.5635643, 2.025E+00, 2.004E+01
1727768371.6724782, 2.009E+00, 2.009E+01
1727768371.7798603, 2.013E+00, 1.993E+01
1727768371.8880224, 2.024E+00, 2.001E+01
1727768371.991985, 2.016E+00, 2.000E+01
1727768372.1035562, 2.011E+00, 2.001E+01
1727768372.209072, 2.020E+00, 2.002E+01
1727768372.315313, 2.017E+00, 2.008E+01
1727768372.4307277, 2.019E+00, 2.004E+01
1727768372.5374544, 2.020E+00, 2.004E+01
1727768372.64366, 2.018E+00, 2.001E+01
1727768372.7485952, 2.015E+00, 2.001E+01
1727768372.8630185, 2.013E+00, 2.000E+01
1727768372.9694273, 2.022E+00, 2.005E+01
1727768373.0760133, 2.012E+00, 2.009E+01
1727768373.1831076, 2.017E+00, 2.001E+01
1727768373.2898462, 2.022E+00, 2.002E+01
1727768373.390332, 2.017E+00, 2.002E+01
1727768373.5031059, 2.016E+00, 2.004E+01
1727768373.6112733, 2.019E+00, 2.001E+01
1727768373.720019, 2.020E+00, 1.999E+01
1727768373.8277411, 2.022E+00, 2.000E+01
1727768373.9410918, 2.015E+00, 2.001E+01
1727768374.0589194, 2.024E+00, 2.006E+01
1727768374.178625, 2.018E+00, 2.005E+01
1727768374.2956305, 2.015E+00, 2.002E+01
1727768374.4094024, 2.017E+00, 1.998E+01
1727768374.5188708, 2.020E+00, 2.004E+01
1727768374.6261504, 2.029E+00, 2.000E+01
1727768374.7359557, 2.019E+00, 2.001E+01
1727768374.8423002, 2.018E+00, 2.006E+01
1727768374.9510603, 2.022E+00, 1.997E+01
1727768375.0529692, 2.019E+00, 2.001E+01
1727768375.1597013, 2.019E+00, 2.007E+01
1727768375.2756774, 2.023E+00, 2.003E+01
1727768375.3765903, 2.018E+00, 2.001E+01
1727768375.4915278, 2.019E+00, 2.006E+01
1727768375.6011899, 2.022E+00, 1.999E+01
1727768375.717206, 2.024E+00, 2.003E+01
1727768375.8254166, 2.023E+00, 2.004E+01
1727768375.9465947, 2.022E+00, 2.000E+01
1727768376.0473206, 2.022E+00, 2.006E+01
1727768376.1663437, 2.022E+00, 2.001E+01
1727768376.2743826, 2.016E+00, 1.998E+01
1727768376.3808444, 2.026E+00, 2.002E+01
1727768376.4874105, 2.017E+00, 1.999E+01
1727768376.5931158, 2.012E+00, 2.004E+01
1727768376.7021794, 2.015E+00, 1.997E+01
1727768376.8096237, 2.022E+00, 2.002E+01
1727768376.9174552, 2.022E+00, 2.000E+01
1727768377.0258794, 2.023E+00, 2.007E+01
1727768377.126467, 2.012E+00, 1.998E+01
1727768377.23488, 2.015E+00, 2.008E+01
