time.time(), c1pp, c2pp, c1rms, c2rms
1727870339.0670128, 2.030E+00, 2.006E+01, 6.890E-01, 6.987E+00 
1727870339.1822681, 2.032E+00, 2.007E+01, 6.889E-01, 6.987E+00 
1727870339.2972999, 2.030E+00, 2.005E+01, 6.890E-01, 6.987E+00 
1727870339.4190376, 2.033E+00, 2.005E+01, 6.889E-01, 6.986E+00 
1727870339.5360491, 2.036E+00, 2.007E+01, 6.890E-01, 6.988E+00 
1727870339.6560955, 2.030E+00, 2.010E+01, 6.892E-01, 6.987E+00 
1727870339.769497, 2.036E+00, 2.007E+01, 6.889E-01, 6.985E+00 
1727870339.8851347, 2.029E+00, 2.008E+01, 6.889E-01, 6.984E+00 
1727870340.0029442, 2.029E+00, 2.007E+01, 6.888E-01, 6.989E+00 
1727870340.115169, 2.038E+00, 2.006E+01, 6.890E-01, 6.986E+00 
1727870340.231114, 2.031E+00, 2.008E+01, 6.888E-01, 6.987E+00 
1727870340.3490689, 2.023E+00, 2.009E+01, 6.889E-01, 6.988E+00 
1727870340.477487, 2.033E+00, 2.006E+01, 6.889E-01, 6.986E+00 
1727870340.591844, 2.035E+00, 2.007E+01, 6.889E-01, 6.989E+00 
1727870340.713219, 2.027E+00, 2.007E+01, 6.889E-01, 6.987E+00 
1727870340.8327174, 2.036E+00, 2.010E+01, 6.889E-01, 6.986E+00 
1727870340.9538126, 2.031E+00, 2.005E+01, 6.886E-01, 6.986E+00 
1727870341.0730047, 2.031E+00, 2.008E+01, 6.891E-01, 6.985E+00 
1727870341.1868587, 2.031E+00, 2.007E+01, 6.892E-01, 6.987E+00 
1727870341.2996283, 2.038E+00, 2.011E+01, 6.891E-01, 6.988E+00 
1727870341.4123292, 2.025E+00, 2.007E+01, 6.889E-01, 6.987E+00 
1727870341.5293546, 2.030E+00, 2.009E+01, 6.890E-01, 6.989E+00 
1727870341.6480887, 2.032E+00, 2.007E+01, 6.889E-01, 6.988E+00 
1727870341.7640622, 2.030E+00, 2.004E+01, 6.890E-01, 6.986E+00 
1727870341.8800251, 2.026E+00, 2.002E+01, 6.890E-01, 6.987E+00 
1727870341.9940038, 2.036E+00, 2.008E+01, 6.889E-01, 6.988E+00 
1727870342.112764, 2.025E+00, 2.007E+01, 6.887E-01, 6.988E+00 
1727870342.226895, 2.023E+00, 2.009E+01, 6.890E-01, 6.988E+00 
1727870342.3389587, 2.032E+00, 2.006E+01, 6.889E-01, 6.988E+00 
1727870342.4527483, 2.028E+00, 2.006E+01, 6.890E-01, 6.986E+00 
1727870342.5646243, 2.030E+00, 2.008E+01, 6.889E-01, 6.989E+00 
1727870342.6820505, 2.022E+00, 2.007E+01, 6.888E-01, 6.988E+00 
1727870342.7943568, 2.025E+00, 2.007E+01, 6.889E-01, 6.989E+00 
1727870342.9150221, 2.030E+00, 2.007E+01, 6.889E-01, 6.987E+00 
1727870343.0319047, 2.024E+00, 2.007E+01, 6.890E-01, 6.985E+00 
1727870343.145735, 2.033E+00, 2.007E+01, 6.891E-01, 6.986E+00 
1727870343.2623343, 2.028E+00, 2.006E+01, 6.890E-01, 6.986E+00 
1727870343.375738, 2.032E+00, 2.006E+01, 6.890E-01, 6.988E+00 
1727870343.4911869, 2.040E+00, 2.008E+01, 6.892E-01, 6.985E+00 
1727870343.6059735, 2.039E+00, 2.006E+01, 6.890E-01, 6.988E+00 
1727870343.7210448, 2.029E+00, 2.006E+01, 6.890E-01, 6.988E+00 
1727870343.8371081, 2.032E+00, 2.008E+01, 6.889E-01, 6.987E+00 
1727870343.9515343, 2.024E+00, 2.007E+01, 6.890E-01, 6.989E+00 
1727870344.0704691, 2.026E+00, 2.007E+01, 6.890E-01, 6.987E+00 
1727870344.185465, 2.031E+00, 2.009E+01, 6.891E-01, 6.985E+00 
1727870344.3003983, 2.043E+00, 2.009E+01, 6.888E-01, 6.988E+00 
1727870344.4110708, 2.026E+00, 2.007E+01, 6.890E-01, 6.989E+00 
1727870344.5266838, 2.037E+00, 2.004E+01, 6.890E-01, 6.986E+00 
1727870344.6451712, 2.024E+00, 2.006E+01, 6.888E-01, 6.986E+00 
1727870344.7626183, 2.032E+00, 2.006E+01, 6.889E-01, 6.987E+00 
1727870344.879849, 2.025E+00, 2.010E+01, 6.889E-01, 6.987E+00 
1727870344.991928, 2.040E+00, 2.007E+01, 6.891E-01, 6.987E+00 
1727870345.106228, 2.026E+00, 2.006E+01, 6.887E-01, 6.988E+00 
1727870345.2209213, 2.029E+00, 2.009E+01, 6.889E-01, 6.989E+00 
