time.time(), c1pp, c2pp, c1rms, c2rms
1727858790.9120536, 7.802E+00, 2.001E+01, 2.719E+00, 6.964E+00 
1727858791.0275931, 7.802E+00, 2.004E+01, 2.719E+00, 6.965E+00 
1727858791.1415417, 7.800E+00, 1.999E+01, 2.719E+00, 6.961E+00 
1727858791.252981, 7.811E+00, 1.999E+01, 2.719E+00, 6.962E+00 
1727858791.370237, 7.795E+00, 1.999E+01, 2.719E+00, 6.963E+00 
1727858791.4925573, 7.800E+00, 2.001E+01, 2.719E+00, 6.965E+00 
1727858791.607946, 7.795E+00, 2.000E+01, 2.719E+00, 6.962E+00 
1727858791.7272108, 7.793E+00, 1.997E+01, 2.719E+00, 6.962E+00 
1727858791.8430297, 7.798E+00, 1.999E+01, 2.720E+00, 6.964E+00 
1727858791.9611144, 7.795E+00, 1.999E+01, 2.719E+00, 6.961E+00 
1727858792.076685, 7.804E+00, 1.997E+01, 2.720E+00, 6.963E+00 
1727858792.1897364, 7.791E+00, 2.001E+01, 2.720E+00, 6.963E+00 
1727858792.3074386, 7.798E+00, 1.998E+01, 2.719E+00, 6.962E+00 
1727858792.423056, 7.791E+00, 1.999E+01, 2.719E+00, 6.962E+00 
1727858792.543494, 7.798E+00, 2.000E+01, 2.719E+00, 6.964E+00 
1727858792.6606896, 7.793E+00, 2.000E+01, 2.719E+00, 6.964E+00 
1727858792.7773416, 7.798E+00, 1.997E+01, 2.719E+00, 6.963E+00 
1727858792.9052925, 7.798E+00, 1.999E+01, 2.719E+00, 6.961E+00 
1727858793.0258436, 7.791E+00, 1.999E+01, 2.720E+00, 6.962E+00 
1727858793.1409605, 7.795E+00, 1.998E+01, 2.719E+00, 6.961E+00 
1727858793.256659, 7.800E+00, 1.999E+01, 2.719E+00, 6.962E+00 
1727858793.3771086, 7.800E+00, 1.998E+01, 2.719E+00, 6.963E+00 
1727858793.4919014, 7.811E+00, 1.997E+01, 2.719E+00, 6.962E+00 
1727858793.6212096, 7.802E+00, 1.999E+01, 2.719E+00, 6.962E+00 
1727858793.7368124, 7.791E+00, 2.001E+01, 2.719E+00, 6.965E+00 
1727858793.8531468, 7.791E+00, 2.000E+01, 2.719E+00, 6.965E+00 
1727858793.9707217, 7.795E+00, 1.998E+01, 2.720E+00, 6.962E+00 
1727858794.0831869, 7.798E+00, 2.004E+01, 2.719E+00, 6.962E+00 
1727858794.2115693, 7.798E+00, 1.999E+01, 2.719E+00, 6.965E+00 
1727858794.323888, 7.798E+00, 2.000E+01, 2.719E+00, 6.963E+00 
1727858794.4486916, 7.807E+00, 2.005E+01, 2.719E+00, 6.964E+00 
1727858794.5628052, 7.798E+00, 1.998E+01, 2.719E+00, 6.964E+00 
1727858794.6832533, 7.807E+00, 1.997E+01, 2.719E+00, 6.964E+00 
1727858794.7986565, 7.793E+00, 2.000E+01, 2.719E+00, 6.961E+00 
1727858794.9173868, 7.795E+00, 2.000E+01, 2.719E+00, 6.963E+00 
1727858795.0340998, 7.791E+00, 2.000E+01, 2.719E+00, 6.962E+00 
1727858795.144968, 7.793E+00, 1.999E+01, 2.719E+00, 6.965E+00 
1727858795.2593272, 7.800E+00, 2.002E+01, 2.719E+00, 6.963E+00 
