COUNTS, TIMES
0, 45000000
0, 45000500
0, 45001000
0, 45001500
0, 45002000
0, 45002500
0, 45003000
0, 45003500
0, 45004000
0, 45004500
0, 45005000
0, 45005500
0, 45006000
0, 45006500
0, 45007000
0, 45007500
0, 45008000
0, 45008500
0, 45009000
0, 45009500
0, 45010000
0, 45010500
0, 45011000
0, 45011500
0, 45012000
0, 45012500
0, 45013000
0, 45013500
0, 45014000
0, 45014500
1, 45015000
1, 45015500
0, 45016000
3, 45016500
2, 45017000
14, 45017500
26, 45018000
36, 45018500
47, 45019000
74, 45019500
193, 45020000
331, 45020500
299, 45021000
416, 45021500
715, 45022000
460, 45022500
741, 45023000
854, 45023500
459, 45024000
384, 45024500
369, 45025000
285, 45025500
349, 45026000
268, 45026500
284, 45027000
320, 45027500
1057, 45028000
1141, 45028500
1464, 45029000
1566, 45029500
1514, 45030000
1331, 45030500
1235, 45031000
1141, 45031500
1110, 45032000
1025, 45032500
990, 45033000
893, 45033500
887, 45034000
961, 45034500
998, 45035000
873, 45035500
803, 45036000
800, 45036500
794, 45037000
945, 45037500
899, 45038000
937, 45038500
925, 45039000
848, 45039500
763, 45040000
738, 45040500
732, 45041000
678, 45041500
666, 45042000
593, 45042500
609, 45043000
589, 45043500
545, 45044000
517, 45044500
584, 45045000
527, 45045500
541, 45046000
538, 45046500
525, 45047000
500, 45047500
487, 45048000
457, 45048500
523, 45049000
447, 45049500
461, 45050000
404, 45050500
451, 45051000
442, 45051500
412, 45052000
418, 45052500
455, 45053000
428, 45053500
414, 45054000
427, 45054500
434, 45055000
385, 45055500
415, 45056000
407, 45056500
377, 45057000
388, 45057500
385, 45058000
388, 45058500
360, 45059000
350, 45059500
411, 45060000
346, 45060500
372, 45061000
401, 45061500
379, 45062000
347, 45062500
351, 45063000
323, 45063500
359, 45064000
322, 45064500
296, 45065000
289, 45065500
269, 45066000
320, 45066500
394, 45067000
374, 45067500
304, 45068000
333, 45068500
346, 45069000
334, 45069500
334, 45070000
287, 45070500
288, 45071000
294, 45071500
297, 45072000
280, 45072500
276, 45073000
316, 45073500
321, 45074000
269, 45074500
304, 45075000
292, 45075500
331, 45076000
300, 45076500
319, 45077000
310, 45077500
261, 45078000
261, 45078500
284, 45079000
303, 45079500
265, 45080000
262, 45080500
290, 45081000
297, 45081500
280, 45082000
295, 45082500
264, 45083000
279, 45083500
245, 45084000
266, 45084500
246, 45085000
262, 45085500
257, 45086000
236, 45086500
241, 45087000
261, 45087500
253, 45088000
265, 45088500
282, 45089000
242, 45089500
264, 45090000
223, 45090500
266, 45091000
261, 45091500
262, 45092000
235, 45092500
223, 45093000
251, 45093500
266, 45094000
209, 45094500
260, 45095000
244, 45095500
244, 45096000
292, 45096500
257, 45097000
263, 45097500
268, 45098000
252, 45098500
243, 45099000
211, 45099500
