COUNTS, TIMES
1, 45000000
0, 45000500
0, 45001000
0, 45001500
0, 45002000
0, 45002500
0, 45003000
0, 45003500
0, 45004000
0, 45004500
0, 45005000
0, 45005500
0, 45006000
0, 45006500
0, 45007000
0, 45007500
0, 45008000
0, 45008500
0, 45009000
0, 45009500
0, 45010000
0, 45010500
0, 45011000
0, 45011500
0, 45012000
0, 45012500
0, 45013000
0, 45013500
0, 45014000
1, 45014500
2, 45015000
1, 45015500
4, 45016000
6, 45016500
0, 45017000
4, 45017500
5, 45018000
21, 45018500
43, 45019000
40, 45019500
36, 45020000
48, 45020500
42, 45021000
60, 45021500
51, 45022000
48, 45022500
63, 45023000
80, 45023500
67, 45024000
49, 45024500
32, 45025000
32, 45025500
38, 45026000
19, 45026500
28, 45027000
31, 45027500
24, 45028000
22, 45028500
22, 45029000
20, 45029500
25, 45030000
29, 45030500
34, 45031000
38, 45031500
35, 45032000
34, 45032500
42, 45033000
43, 45033500
53, 45034000
54, 45034500
52, 45035000
40, 45035500
47, 45036000
46, 45036500
40, 45037000
44, 45037500
52, 45038000
64, 45038500
68, 45039000
50, 45039500
47, 45040000
40, 45040500
37, 45041000
45, 45041500
69, 45042000
104, 45042500
84, 45043000
240, 45043500
671, 45044000
1069, 45044500
1450, 45045000
1649, 45045500
1649, 45046000
1692, 45046500
1731, 45047000
1763, 45047500
1725, 45048000
1606, 45048500
1668, 45049000
1734, 45049500
1708, 45050000
1623, 45050500
1568, 45051000
1552, 45051500
1531, 45052000
1460, 45052500
1375, 45053000
1392, 45053500
1268, 45054000
1154, 45054500
1186, 45055000
1118, 45055500
1033, 45056000
1039, 45056500
957, 45057000
941, 45057500
956, 45058000
898, 45058500
882, 45059000
860, 45059500
841, 45060000
838, 45060500
828, 45061000
788, 45061500
783, 45062000
688, 45062500
770, 45063000
727, 45063500
739, 45064000
705, 45064500
683, 45065000
756, 45065500
700, 45066000
656, 45066500
708, 45067000
700, 45067500
676, 45068000
645, 45068500
647, 45069000
586, 45069500
635, 45070000
657, 45070500
652, 45071000
616, 45071500
595, 45072000
613, 45072500
625, 45073000
575, 45073500
626, 45074000
589, 45074500
609, 45075000
619, 45075500
583, 45076000
522, 45076500
539, 45077000
549, 45077500
587, 45078000
564, 45078500
549, 45079000
567, 45079500
537, 45080000
550, 45080500
561, 45081000
561, 45081500
558, 45082000
519, 45082500
510, 45083000
512, 45083500
484, 45084000
518, 45084500
494, 45085000
508, 45085500
508, 45086000
548, 45086500
510, 45087000
558, 45087500
489, 45088000
513, 45088500
472, 45089000
541, 45089500
505, 45090000
497, 45090500
477, 45091000
495, 45091500
470, 45092000
460, 45092500
467, 45093000
485, 45093500
475, 45094000
457, 45094500
508, 45095000
472, 45095500
509, 45096000
446, 45096500
464, 45097000
433, 45097500
478, 45098000
452, 45098500
420, 45099000
426, 45099500
