COUNTS, TIMES
0, 45000000
0, 45001000
0, 45002000
0, 45003000
0, 45004000
0, 45005000
0, 45006000
0, 45007000
0, 45008000
0, 45009000
0, 45010000
0, 45011000
0, 45012000
0, 45013000
0, 45014000
0, 45015000
0, 45016000
0, 45017000
0, 45018000
0, 45019000
0, 45020000
0, 45021000
0, 45022000
0, 45023000
0, 45024000
0, 45025000
0, 45026000
0, 45027000
0, 45028000
0, 45029000
1, 45030000
5, 45031000
10, 45032000
30, 45033000
64, 45034000
208, 45035000
297, 45036000
789, 45037000
984, 45038000
1316, 45039000
1111, 45040000
734, 45041000
563, 45042000
487, 45043000
1308, 45044000
2774, 45045000
2786, 45046000
2134, 45047000
1652, 45048000
1342, 45049000
1085, 45050000
1103, 45051000
1132, 45052000
1128, 45053000
1165, 45054000
1279, 45055000
1185, 45056000
1124, 45057000
1139, 45058000
1066, 45059000
1034, 45060000
1054, 45061000
983, 45062000
1001, 45063000
923, 45064000
969, 45065000
919, 45066000
977, 45067000
998, 45068000
965, 45069000
985, 45070000
916, 45071000
957, 45072000
917, 45073000
947, 45074000
911, 45075000
840, 45076000
879, 45077000
840, 45078000
867, 45079000
854, 45080000
832, 45081000
902, 45082000
901, 45083000
802, 45084000
800, 45085000
892, 45086000
879, 45087000
810, 45088000
808, 45089000
874, 45090000
764, 45091000
768, 45092000
699, 45093000
798, 45094000
771, 45095000
838, 45096000
779, 45097000
742, 45098000
792, 45099000
747, 45100000
782, 45101000
807, 45102000
733, 45103000
737, 45104000
730, 45105000
764, 45106000
730, 45107000
691, 45108000
651, 45109000
664, 45110000
770, 45111000
749, 45112000
786, 45113000
779, 45114000
708, 45115000
739, 45116000
658, 45117000
686, 45118000
715, 45119000
675, 45120000
662, 45121000
656, 45122000
661, 45123000
636, 45124000
695, 45125000
693, 45126000
695, 45127000
642, 45128000
675, 45129000
701, 45130000
634, 45131000
668, 45132000
625, 45133000
676, 45134000
598, 45135000
609, 45136000
602, 45137000
644, 45138000
699, 45139000
640, 45140000
611, 45141000
568, 45142000
649, 45143000
650, 45144000
581, 45145000
579, 45146000
605, 45147000
606, 45148000
569, 45149000
683, 45150000
610, 45151000
662, 45152000
674, 45153000
694, 45154000
644, 45155000
621, 45156000
626, 45157000
619, 45158000
602, 45159000
632, 45160000
611, 45161000
539, 45162000
577, 45163000
572, 45164000
597, 45165000
572, 45166000
581, 45167000
600, 45168000
577, 45169000
559, 45170000
589, 45171000
568, 45172000
613, 45173000
581, 45174000
544, 45175000
513, 45176000
529, 45177000
608, 45178000
538, 45179000
532, 45180000
544, 45181000
592, 45182000
565, 45183000
501, 45184000
535, 45185000
519, 45186000
570, 45187000
536, 45188000
537, 45189000
518, 45190000
492, 45191000
516, 45192000
513, 45193000
522, 45194000
513, 45195000
501, 45196000
513, 45197000
494, 45198000
502, 45199000
507, 45200000
505, 45201000
516, 45202000
525, 45203000
515, 45204000
493, 45205000
489, 45206000
489, 45207000
469, 45208000
454, 45209000
438, 45210000
516, 45211000
463, 45212000
496, 45213000
467, 45214000
486, 45215000
460, 45216000
495, 45217000
476, 45218000
487, 45219000
440, 45220000
451, 45221000
453, 45222000
415, 45223000
453, 45224000
477, 45225000
473, 45226000
522, 45227000
449, 45228000
434, 45229000
466, 45230000
444, 45231000
388, 45232000
401, 45233000
460, 45234000
437, 45235000
438, 45236000
476, 45237000
493, 45238000
477, 45239000
425, 45240000
433, 45241000
469, 45242000
426, 45243000
422, 45244000
459, 45245000
350, 45246000
408, 45247000
436, 45248000
456, 45249000
