COUNTS, TIMES
0, 45000000
0, 45001000
0, 45002000
0, 45003000
0, 45004000
0, 45005000
0, 45006000
0, 45007000
0, 45008000
0, 45009000
0, 45010000
0, 45011000
0, 45012000
0, 45013000
0, 45014000
0, 45015000
0, 45016000
0, 45017000
0, 45018000
0, 45019000
0, 45020000
0, 45021000
0, 45022000
0, 45023000
0, 45024000
0, 45025000
0, 45026000
0, 45027000
0, 45028000
0, 45029000
7, 45030000
4, 45031000
10, 45032000
6, 45033000
36, 45034000
120, 45035000
65, 45036000
68, 45037000
76, 45038000
95, 45039000
84, 45040000
45, 45041000
42, 45042000
32, 45043000
30, 45044000
26, 45045000
30, 45046000
38, 45047000
32, 45048000
26, 45049000
30, 45050000
32, 45051000
30, 45052000
30, 45053000
32, 45054000
32, 45055000
43, 45056000
30, 45057000
45, 45058000
33, 45059000
33, 45060000
229, 45061000
199, 45062000
86, 45063000
192, 45064000
956, 45065000
811, 45066000
1120, 45067000
1369, 45068000
1494, 45069000
1391, 45070000
1214, 45071000
1564, 45072000
1559, 45073000
1493, 45074000
1379, 45075000
1602, 45076000
1404, 45077000
1365, 45078000
1252, 45079000
1312, 45080000
1255, 45081000
1289, 45082000
1303, 45083000
1239, 45084000
1088, 45085000
1187, 45086000
1218, 45087000
1107, 45088000
1022, 45089000
1231, 45090000
1134, 45091000
1095, 45092000
1010, 45093000
835, 45094000
875, 45095000
911, 45096000
948, 45097000
953, 45098000
882, 45099000
941, 45100000
980, 45101000
1025, 45102000
966, 45103000
985, 45104000
986, 45105000
915, 45106000
898, 45107000
843, 45108000
867, 45109000
864, 45110000
872, 45111000
878, 45112000
814, 45113000
817, 45114000
791, 45115000
898, 45116000
784, 45117000
906, 45118000
856, 45119000
854, 45120000
766, 45121000
753, 45122000
701, 45123000
770, 45124000
823, 45125000
738, 45126000
797, 45127000
764, 45128000
792, 45129000
780, 45130000
796, 45131000
722, 45132000
761, 45133000
740, 45134000
646, 45135000
644, 45136000
710, 45137000
652, 45138000
642, 45139000
647, 45140000
636, 45141000
663, 45142000
674, 45143000
705, 45144000
658, 45145000
722, 45146000
713, 45147000
789, 45148000
761, 45149000
639, 45150000
654, 45151000
576, 45152000
689, 45153000
676, 45154000
669, 45155000
789, 45156000
712, 45157000
754, 45158000
740, 45159000
727, 45160000
677, 45161000
698, 45162000
638, 45163000
639, 45164000
679, 45165000
607, 45166000
625, 45167000
648, 45168000
652, 45169000
560, 45170000
650, 45171000
680, 45172000
700, 45173000
710, 45174000
623, 45175000
619, 45176000
578, 45177000
617, 45178000
542, 45179000
573, 45180000
577, 45181000
676, 45182000
643, 45183000
662, 45184000
625, 45185000
670, 45186000
675, 45187000
673, 45188000
597, 45189000
617, 45190000
562, 45191000
525, 45192000
499, 45193000
507, 45194000
531, 45195000
572, 45196000
566, 45197000
557, 45198000
586, 45199000
611, 45200000
541, 45201000
570, 45202000
554, 45203000
602, 45204000
513, 45205000
500, 45206000
550, 45207000
575, 45208000
537, 45209000
554, 45210000
502, 45211000
560, 45212000
628, 45213000
540, 45214000
626, 45215000
553, 45216000
574, 45217000
613, 45218000
615, 45219000
606, 45220000
563, 45221000
589, 45222000
648, 45223000
627, 45224000
536, 45225000
618, 45226000
662, 45227000
657, 45228000
632, 45229000
631, 45230000
603, 45231000
639, 45232000
561, 45233000
533, 45234000
543, 45235000
509, 45236000
543, 45237000
585, 45238000
588, 45239000
511, 45240000
569, 45241000
588, 45242000
503, 45243000
549, 45244000
517, 45245000
491, 45246000
543, 45247000
536, 45248000
500, 45249000
