countA, countB, T
301,9, 1.0880687236785889
300,13, 2.1823015213012695
300,7, 3.277472972869873
300,12, 4.370543003082275
300,17, 5.463291645050049
300,10, 6.555711507797241
300,15, 7.65155553817749
300,9, 8.74208927154541
301,7, 9.836248397827148
301,10, 10.930904388427734
300,14, 12.024800539016724
300,16, 13.118261098861694
300,10, 14.212462663650513
300,13, 15.30917501449585
300,13, 16.398861408233643
300,15, 17.49271249771118
300,8, 18.586655855178833
301,8, 19.683379411697388
300,12, 20.775135278701782
300,18, 21.866822957992554
300,16, 22.962398529052734
300,9, 24.0572772026062
300,9, 25.153431177139282
300,4, 26.24569034576416
300,13, 27.336325645446777
300,10, 28.42897129058838
301,9, 29.523765325546265
300,10, 30.61471962928772
300,14, 31.70825982093811
300,11, 32.79903244972229
300,11, 33.89238667488098
300,10, 34.98383069038391
300,9, 36.07714128494263
300,8, 37.16619539260864
301,15, 38.26099228858948
301,14, 39.355090379714966
300,10, 40.44835066795349
300,11, 41.54040575027466
300,8, 42.6344211101532
300,7, 43.730751037597656
300,10, 44.817994117736816
300,14, 45.90949559211731
301,11, 46.99816632270813
301,6, 48.09016013145447
300,14, 49.182738304138184
300,4, 50.27416777610779
300,8, 51.36791157722473
300,7, 52.454912185668945
300,6, 53.55101418495178
300,10, 54.64800477027893
300,8, 55.74747633934021
301,13, 56.83960700035095
300,12, 57.92695188522339
300,14, 59.021952629089355
300,4, 60.11554503440857
300,9, 61.21240520477295
300,6, 62.30820631980896
300,5, 63.40596914291382
300,10, 64.49955034255981
300,7, 65.59688711166382
301,6, 66.69368743896484
300,11, 67.7956690788269
300,13, 68.89736866950989
300,11, 69.98161458969116
300,4, 71.08018374443054
300,12, 72.17905616760254
300,9, 73.27731251716614
300,10, 74.36661028862
300,15, 75.46524167060852
301,11, 76.55453705787659
300,3, 77.64963459968567
300,7, 78.74466395378113
300,10, 79.84323525428772
300,12, 80.93631792068481
300,11, 82.03585267066956
300,8, 83.12259888648987
300,15, 84.21248960494995
301,7, 85.3044044971466
300,13, 86.40021872520447
300,8, 87.49777841567993
300,9, 88.59485816955566
300,9, 89.68538689613342
300,15, 90.77377581596375
300,7, 91.87517595291138
300,13, 92.9608268737793
301,14, 94.05208468437195
301,17, 95.13742971420288
300,8, 96.23213386535645
300,5, 97.32559084892273
300,8, 98.41987991333008
300,7, 99.51952481269836
300,4, 100.62102627754211
300,13, 101.7111804485321
300,13, 102.80586075782776
301,8, 103.89545011520386
300,9, 104.99322390556335
300,10, 106.08843851089478
300,9, 107.18269419670105
300,13, 108.2782347202301
300,12, 109.37521862983704
300,11, 110.46838450431824
300,10, 111.56409358978271
300,11, 112.65075874328613
300,10, 113.74396538734436
300,9, 114.83691096305847
300,13, 115.93095684051514
300,10, 117.0210931301117
300,9, 118.11320853233337
300,18, 119.20587682723999
300,19, 120.29690933227539
300,15, 121.39043807983398
300,13, 122.48353028297424
301,13, 123.56996941566467
300,10, 124.6660315990448
300,13, 125.76458168029785
300,14, 126.8580391407013
300,15, 127.95166277885437
300,15, 129.0428216457367
300,6, 130.1364529132843
300,6, 131.22960782051086
301,10, 132.3224265575409
300,11, 133.41389179229736
300,10, 134.50583720207214
300,14, 135.59885001182556
300,10, 136.69043254852295
300,11, 137.7872495651245
300,9, 138.88456535339355
300,15, 139.97822666168213
301,15, 141.0737705230713
301,8, 142.16834378242493
300,11, 143.26115775108337
300,11, 144.3521900177002
300,7, 145.4441533088684
300,9, 146.53445267677307
300,16, 147.62795209884644
300,12, 148.7268464565277
301,8, 149.8135027885437
301,12, 150.90147376060486
300,10, 151.99628019332886
300,17, 153.0813126564026
300,15, 154.17391061782837
300,10, 155.26563358306885
300,12, 156.35879135131836
300,8, 157.45720505714417
300,5, 158.55159616470337
300,11, 159.6451551914215
300,6, 160.73514485359192
300,11, 161.83038997650146
300,10, 162.92222332954407
300,12, 164.01949834823608
300,12, 165.11477327346802
300,10, 166.20575642585754
300,12, 167.29892802238464
300,3, 168.39502716064453
301,9, 169.49213862419128
300,10, 170.58812808990479
300,14, 171.68031001091003
300,13, 172.77413606643677
300,6, 173.86767482757568
300,10, 174.9617416858673
300,11, 176.0497851371765
300,12, 177.14383006095886
301,10, 178.24308133125305
300,9, 179.3395538330078
300,13, 180.43502855300903
300,14, 181.53004479408264
300,9, 182.62380814552307
300,8, 183.71725487709045
300,12, 184.81170177459717
300,10, 185.90236973762512
301,11, 186.99535012245178
301,12, 188.0890862941742
300,12, 189.18182349205017
300,15, 190.27430772781372
300,7, 191.36606001853943
300,15, 192.45952558517456
300,11, 193.55063009262085
300,8, 194.6466565132141
300,9, 195.7461278438568
301,9, 196.8395276069641
301,14, 197.9340958595276
300,15, 199.02748107910156
300,10, 200.12199091911316
300,12, 201.21985793113708
300,7, 202.31695866584778
300,7, 203.4138617515564
300,5, 204.50763058662415
300,14, 205.59914088249207
300,12, 206.6920952796936
301,17, 207.7840268611908
300,15, 208.87505054473877
300,12, 209.9732506275177
300,4, 211.0686013698578
300,10, 212.15999054908752
300,5, 213.25370931625366
300,12, 214.34726667404175
300,15, 215.44390988349915
300,12, 216.53681182861328
301,21, 217.6324326992035
300,10, 218.7217571735382
300,11, 219.8199179172516
300,6, 220.91311597824097
300,13, 222.01176190376282
300,8, 223.10236811637878
300,8, 224.19657278060913
300,12, 225.28722047805786
300,14, 226.38401985168457
301,11, 227.4766342639923
300,8, 228.57278394699097
300,13, 229.66944241523743
300,10, 230.76399183273315
300,14, 231.84949445724487
300,10, 232.94870781898499
300,16, 234.04455161094666
300,10, 235.13798189163208
301,13, 236.2319040298462
301,6, 237.32128739356995
300,11, 238.41708397865295
300,9, 239.50931906700134
300,8, 240.6046326160431
300,6, 241.700425863266
300,11, 242.79566717147827
300,9, 243.89025568962097
301,20, 244.98660802841187
301,10, 246.07849073410034
300,7, 247.1742103099823
300,5, 248.2661509513855
300,11, 249.35948419570923
300,12, 250.45264267921448
300,6, 251.54506826400757
300,11, 252.63764667510986
301,10, 253.729012966156
301,7, 254.81611824035645
300,9, 255.91066765785217
300,6, 257.00072026252747
300,8, 258.096599817276
